Family,Historical jobs,Historical items,Historical %,Uniform %,Mixed %,Operations
PF01,79,43,23.03206997084548,5.263157894736842,14.147613932791161,1
PF02,75,39,21.865889212827987,5.263157894736842,13.564523553782415,2
PF03,50,1,14.577259475218659,5.263157894736842,9.920208684977752,4
PF04,33,29,9.620991253644315,5.263157894736842,7.4420745741905785,1
PF05,23,7,6.705539358600583,5.263157894736842,5.984348626668712,3
PF06,16,2,4.664723032069971,5.263157894736842,4.963940463403406,10
PF07,14,12,4.081632653061225,5.263157894736842,4.672395273899033,2
PF08,9,7,2.623906705539359,5.263157894736842,3.9435323001381,2
PF09,8,2,2.3323615160349855,5.263157894736842,3.7977597053859133,3
PF10,8,3,2.3323615160349855,5.263157894736842,3.7977597053859133,3
PF11,6,1,1.749271137026239,5.263157894736842,3.506214515881541,5
PF12,6,5,1.749271137026239,5.263157894736842,3.506214515881541,11
PF13,4,4,1.1661807580174928,5.263157894736842,3.2146693263771677,7
PF14,3,1,0.8746355685131195,5.263157894736842,3.0688967316249807,5
PF15,2,2,0.5830903790087464,5.263157894736842,2.923124136872794,3
PF16,2,2,0.5830903790087464,5.263157894736842,2.923124136872794,4
PF17,2,1,0.5830903790087464,5.263157894736842,2.923124136872794,5
PF18,2,2,0.5830903790087464,5.263157894736842,2.923124136872794,10
PF19,1,1,0.2915451895043732,5.263157894736842,2.7773515421206074,5
