Family,Jobs,Items,Demand %,Operations,Quantity mean,Processing contribution min/job,Route,Processing share %
PF01,79,43,23.03206997084548,1,972.9620253164557,1456.606413994169,Milling,4.461652690083945
PF02,75,39,21.865889212827987,2,1711.6666666666667,9543.913994169097,Milling / Milling,29.233449157518827
PF03,50,1,14.577259475218659,4,106.96,661.5990675990676,Turning / Turning / Turning / Turning,2.02650848667911
PF04,33,29,9.620991253644315,1,12146.151515151516,2337.1603498542277,Turning,7.158830046265601
PF05,23,7,6.705539358600583,3,1019.8260869565217,2325.0845481049564,Milling / Milling / Milling,7.12184130802998
PF06,16,2,4.664723032069971,10,1708.125,3346.530612244898,Turning / Turning / Turning / Turning / Turning / Honing / Honing / Turning / Turning / Turning,10.250577757397194
PF07,14,12,4.081632653061225,2,186.78571428571428,99.74360156259002,Turning / Turning,0.3055192562348365
PF08,9,7,2.623906705539359,2,1035.3333333333333,448.24198250728864,Turning / Milling,1.3729858854446941
PF09,8,2,2.3323615160349855,3,1711.25,2969.4927113702624,Milling / Milling / WireEDM,9.095693261119221
PF10,8,3,2.3323615160349855,3,1619.25,887.5189504373178,Turning / Turning / Milling,2.7185115173706698
PF11,6,1,1.749271137026239,5,6488.333333333333,3858.9504373177842,Turning / Turning / Milling / Milling / Milling,11.82014333738093
PF12,6,5,1.749271137026239,11,1708.8333333333333,1315.2536443148688,Turning / Turning / Turning / Turning / Turning / Turning / Turning / Turning / Turning / Turning / Milling,4.028682631026529
PF13,4,4,1.1661807580174928,7,47.0,13.428571428571427,Turning / Turning / Turning / Turning / Honing / Honing / Turning,0.041132334213729436
PF14,3,1,0.8746355685131195,5,608.6666666666666,528.6349854227406,Milling / Milling / Milling / Milling / WireEDM,1.6192333647058204
PF15,2,2,0.5830903790087464,3,22417.0,1091.4399416909619,Turning / Milling / Milling,3.3431309275630015
PF16,2,2,0.5830903790087464,4,5960.0,1194.606413994169,Turning / Turning / Milling / Milling,3.6591345948926706
PF17,2,1,0.5830903790087464,5,6460.5,474.2236668861093,Turning / Turning / Turning / Milling / Turning,1.4525689841376408
PF18,2,2,0.5830903790087464,10,360.0,64.02332361516034,Turning / Turning / Turning / Turning / Turning / Turning / Turning / Turning / Turning / Turning,0.19610639586050768
PF19,1,1,0.2915451895043732,5,49.0,30.785714285714285,Milling / Milling / Milling / Milling / Milling,0.0942980640750925
