x,y,w,h,id,department,machine_family,speed,technology_source
2130.0,612.0,80.0,70.0,M01,floor,Milling,0.8607079764250578,"Synthetic log-spaced speed factors, not estimated machine effects"
1461.5,153.0,80.0,70.0,M02,floor,Milling,0.866733912058502,"Synthetic log-spaced speed factors, not estimated machine effects"
2130.0,705.0,80.0,70.0,M03,floor,Milling,0.872802036101085,"Synthetic log-spaced speed factors, not estimated machine effects"
1554.5,153.0,80.0,70.0,M04,floor,Milling,0.8789126439196965,"Synthetic log-spaced speed factors, not estimated machine effects"
374.0,370.0,80.0,70.0,M05,floor,Milling,0.8850660329491306,"Synthetic log-spaced speed factors, not estimated machine effects"
831.0,370.0,80.0,70.0,M06,floor,Milling,0.8912625027065636,"Synthetic log-spaced speed factors, not estimated machine effects"
946.0,370.0,80.0,70.0,M07,floor,Milling,0.8975023548061332,"Synthetic log-spaced speed factors, not estimated machine effects"
489.0,370.0,80.0,70.0,M08,floor,Milling,0.9037858929736191,"Synthetic log-spaced speed factors, not estimated machine effects"
2230.0,705.0,80.0,70.0,M09,floor,Milling,0.9101134230612273,"Synthetic log-spaced speed factors, not estimated machine effects"
760.0,560.0,80.0,70.0,M10,floor,Milling,0.9164852530624775,"Synthetic log-spaced speed factors, not estimated machine effects"
1060.0,370.0,80.0,70.0,M11,floor,Milling,0.9229016931271946,"Synthetic log-spaced speed factors, not estimated machine effects"
1554.5,241.0,80.0,70.0,M12,floor,Milling,0.9293630555766054,"Synthetic log-spaced speed factors, not estimated machine effects"
560.0,660.0,80.0,70.0,M13,floor,Milling,0.9358696549185406,"Synthetic log-spaced speed factors, not estimated machine effects"
660.0,270.0,80.0,70.0,M14,floor,Milling,0.942421807862744,"Synthetic log-spaced speed factors, not estimated machine effects"
460.0,560.0,80.0,70.0,M15,floor,Milling,0.9490198333362879,"Synthetic log-spaced speed factors, not estimated machine effects"
603.0,370.0,80.0,70.0,M16,floor,Milling,0.9556640524990976,"Synthetic log-spaced speed factors, not estimated machine effects"
260.0,560.0,80.0,70.0,M17,floor,Milling,0.9623547887595828,"Synthetic log-spaced speed factors, not estimated machine effects"
560.0,560.0,80.0,70.0,M18,floor,Milling,0.9690923677903809,"Synthetic log-spaced speed factors, not estimated machine effects"
460.0,660.0,80.0,70.0,M19,floor,Milling,0.9758771175442079,"Synthetic log-spaced speed factors, not estimated machine effects"
660.0,560.0,80.0,70.0,M20,floor,Milling,0.9827093682698226,"Synthetic log-spaced speed factors, not estimated machine effects"
860.0,560.0,80.0,70.0,M21,floor,Milling,0.9895894525281009,"Synthetic log-spaced speed factors, not estimated machine effects"
1060.0,560.0,80.0,70.0,M22,floor,Milling,0.9965177052082234,"Synthetic log-spaced speed factors, not estimated machine effects"
960.0,560.0,80.0,70.0,M23,floor,Milling,1.003494463543976,"Synthetic log-spaced speed factors, not estimated machine effects"
1646.5,153.0,80.0,70.0,M24,floor,Milling,1.0105200671301653,"Synthetic log-spaced speed factors, not estimated machine effects"
260.0,370.0,80.0,70.0,M25,floor,Milling,1.017594857939148,"Synthetic log-spaced speed factors, not estimated machine effects"
1739.5,153.0,80.0,70.0,M26,floor,Milling,1.0247191803374767,"Synthetic log-spaced speed factors, not estimated machine effects"
360.0,270.0,80.0,70.0,M27,floor,Milling,1.0318933811026614,"Synthetic log-spaced speed factors, not estimated machine effects"
460.0,270.0,80.0,70.0,M28,floor,Milling,1.0391178094400502,"Synthetic log-spaced speed factors, not estimated machine effects"
260.0,270.0,80.0,70.0,M29,floor,Milling,1.0463928169998258,"Synthetic log-spaced speed factors, not estimated machine effects"
260.0,660.0,80.0,70.0,M30,floor,Milling,1.053718757894122,"Synthetic log-spaced speed factors, not estimated machine effects"
360.0,660.0,80.0,70.0,M31,floor,Milling,1.0610959887142615,"Synthetic log-spaced speed factors, not estimated machine effects"
1673.0,570.0,80.0,70.0,M32,floor,Milling,1.0685248685481115,"Synthetic log-spaced speed factors, not estimated machine effects"
1461.5,241.0,80.0,70.0,M33,floor,Milling,1.0760057589975636,"Synthetic log-spaced speed factors, not estimated machine effects"
717.0,370.0,80.0,70.0,M34,floor,Milling,1.0835390241961336,"Synthetic log-spaced speed factors, not estimated machine effects"
2230.0,612.0,80.0,70.0,M35,floor,Milling,1.091125030826687,"Synthetic log-spaced speed factors, not estimated machine effects"
960.0,650.0,80.0,70.0,M36,floor,Milling,1.0987641481392871,"Synthetic log-spaced speed factors, not estimated machine effects"
360.0,560.0,80.0,70.0,M37,floor,Milling,1.1064567479691667,"Synthetic log-spaced speed factors, not estimated machine effects"
2130.0,148.0,80.0,70.0,M38,floor,Milling,1.1142032047548298,"Synthetic log-spaced speed factors, not estimated machine effects"
2130.0,241.0,80.0,70.0,M39,floor,Milling,1.1220038955562754,"Synthetic log-spaced speed factors, not estimated machine effects"
560.0,270.0,80.0,70.0,M40,floor,Milling,1.1298592000733523,"Synthetic log-spaced speed factors, not estimated machine effects"
1276.5,153.0,80.0,70.0,M41,floor,Milling,1.1377695006642399,"Synthetic log-spaced speed factors, not estimated machine effects"
1831.5,153.0,80.0,70.0,M42,floor,Milling,1.1457351823640605,"Synthetic log-spaced speed factors, not estimated machine effects"
1439.0,520.0,70.0,120.0,M43,floor,Milling,1.1537566329036204,"Synthetic log-spaced speed factors, not estimated machine effects"
1180.0,241.0,80.0,70.0,M44,floor,Milling,1.161834242728283,"Synthetic log-spaced speed factors, not estimated machine effects"
1559.0,520.0,70.0,120.0,M45,floor,Turning,0.8607079764250578,"Synthetic log-spaced speed factors, not estimated machine effects"
10.0,380.0,120.0,70.0,M46,floor,Turning,0.8744059597593443,"Synthetic log-spaced speed factors, not estimated machine effects"
10.0,490.0,120.0,70.0,M47,floor,Turning,0.8883219435683164,"Synthetic log-spaced speed factors, not estimated machine effects"
1320.0,520.0,70.0,120.0,M48,floor,Turning,0.9024593972828971,"Synthetic log-spaced speed factors, not estimated machine effects"
1200.0,520.0,70.0,120.0,M49,floor,Turning,0.9168218455492607,"Synthetic log-spaced speed factors, not estimated machine effects"
10.0,269.0,120.0,70.0,M50,floor,Turning,0.9314128691075709,"Synthetic log-spaced speed factors, not estimated machine effects"
1060.0,270.0,80.0,70.0,M51,floor,Turning,0.9462361056847055,"Synthetic log-spaced speed factors, not estimated machine effects"
760.0,270.0,80.0,70.0,M52,floor,Turning,0.9612952509011874,"Synthetic log-spaced speed factors, not estimated machine effects"
1924.5,153.0,80.0,70.0,M53,floor,Turning,0.9765940591925496,"Synthetic log-spaced speed factors, not estimated machine effects"
2130.0,519.0,80.0,70.0,M54,floor,Turning,0.9921363447453633,"Synthetic log-spaced speed factors, not estimated machine effects"
2130.0,426.0,80.0,70.0,M55,floor,Turning,1.0079259824481634,"Synthetic log-spaced speed factors, not estimated machine effects"
2130.0,334.0,80.0,70.0,M56,floor,Turning,1.0239669088575067,"Synthetic log-spaced speed factors, not estimated machine effects"
2130.0,55.0,80.0,70.0,M57,floor,Turning,1.0402631231794062,"Synthetic log-spaced speed factors, not estimated machine effects"
1368.5,153.0,80.0,70.0,M58,floor,Turning,1.056818688266382,"Synthetic log-spaced speed factors, not estimated machine effects"
1183.5,153.0,80.0,70.0,M59,floor,Turning,1.0736377316303838,"Synthetic log-spaced speed factors, not estimated machine effects"
1884.5,70.0,120.0,70.0,M60,floor,Turning,1.090724446471831,"Synthetic log-spaced speed factors, not estimated machine effects"
10.0,40.0,120.0,70.0,M61,floor,Turning,1.108083092725031,"Synthetic log-spaced speed factors, not estimated machine effects"
260.0,40.0,120.0,70.0,M62,floor,Turning,1.1257179981202334,"Synthetic log-spaced speed factors, not estimated machine effects"
540.0,40.0,120.0,70.0,M63,floor,Turning,1.1436335592625901,"Synthetic log-spaced speed factors, not estimated machine effects"
700.0,40.0,120.0,70.0,M64,floor,Turning,1.161834242728283,"Synthetic log-spaced speed factors, not estimated machine effects"
860.0,40.0,120.0,70.0,M65,floor,Honing,0.8607079764250578,"Synthetic log-spaced speed factors, not estimated machine effects"
1020.0,40.0,120.0,70.0,M66,floor,Honing,1.161834242728283,"Synthetic log-spaced speed factors, not estimated machine effects"
960.0,270.0,80.0,70.0,M67,floor,WireEDM,0.8607079764250578,"Synthetic log-spaced speed factors, not estimated machine effects"
860.0,270.0,80.0,70.0,M68,floor,WireEDM,1.161834242728283,"Synthetic log-spaced speed factors, not estimated machine effects"
