part_family,id,name,machine_family,position,setup_class,base_time,operation_modifier,reference_time_per_unit
PF01,OP010,Milling stage 1,Milling,1,Milling-2,10.0,1.0,6.5
PF02,OP010,Milling stage 1,Milling,1,Milling-3,10.0,1.479019945774904,17.5
PF02,OP020,Milling stage 2,Milling,2,Milling-1,10.0,0.6761234037828132,8.0
PF03,OP010,Turning stage 1,Turning,1,Turning-1,2.5,0.9430699438956015,9.0
PF03,OP020,Turning stage 2,Turning,2,Turning-2,2.5,1.9314492570200643,18.43240093240093
PF03,OP030,Turning stage 3,Turning,3,Turning-3,2.5,0.5239277466086675,5.0
PF03,OP040,Turning stage 4,Turning,4,Turning-1,2.5,1.047855493217335,10.0
PF04,OP010,Turning stage 1,Turning,1,Turning-2,2.5,1.0,2.0
PF05,OP010,Milling stage 1,Milling,1,Milling-3,10.0,0.35688292775180414,3.0
PF05,OP020,Milling stage 2,Milling,2,Milling-1,10.0,2.617141470179897,22.0
PF05,OP030,Milling stage 3,Milling,3,Milling-2,10.0,1.0706487832554124,9.0
PF06,OP010,Turning stage 1,Turning,1,Turning-1,2.5,0.5869917419725752,2.0
PF06,OP020,Turning stage 2,Turning,2,Turning-2,2.5,0.5869917419725752,2.0
PF06,OP030,Turning stage 3,Turning,3,Turning-3,2.5,1.0272355484520066,3.5
PF06,OP040,Turning stage 4,Turning,4,Turning-1,2.5,1.3207314194382942,4.5
PF06,OP050,Turning stage 5,Turning,5,Turning-2,2.5,0.5869917419725752,2.0
PF06,OP060,Honing stage 6,Honing,6,Honing-3,4.0,0.7337396774657189,4.0
PF06,OP070,Honing stage 7,Honing,7,Honing-1,4.0,0.8254571371489338,4.5
PF06,OP080,Turning stage 8,Turning,8,Turning-2,2.5,1.1739834839451504,4.0
PF06,OP090,Turning stage 9,Turning,9,Turning-3,2.5,2.4947149033834446,8.5
PF06,OP100,Turning stage 10,Turning,10,Turning-1,2.5,2.054471096904013,7.0
PF07,OP010,Turning stage 1,Turning,1,Turning-2,2.5,0.7864997820028081,5.0
PF07,OP020,Turning stage 2,Turning,2,Turning-3,2.5,1.2714561693246977,8.08300395256917
PF08,OP010,Turning stage 1,Turning,1,Turning-3,2.5,3.0331501776206204,11.5
PF08,OP020,Milling stage 2,Milling,2,Milling-1,10.0,0.32969023669789355,5.0
PF09,OP010,Milling stage 1,Milling,1,Milling-1,10.0,2.536589000851232,48.0
PF09,OP020,Milling stage 2,Milling,2,Milling-2,10.0,0.8138223044397703,15.4
PF09,OP030,WireEDM stage 3,WireEDM,3,WireEDM-3,12.0,0.48441803835700614,11.0
PF10,OP010,Turning stage 1,Turning,1,Turning-2,2.5,1.772123743932122,8.0
PF10,OP020,Turning stage 2,Turning,2,Turning-3,2.5,0.886061871966061,4.0
PF10,OP030,Milling stage 3,Milling,3,Milling-1,10.0,0.6368569704756063,11.5
PF11,OP010,Turning stage 1,Turning,1,Turning-3,2.5,2.728414558646621,5.25
PF11,OP020,Turning stage 2,Turning,2,Turning-1,2.5,2.728414558646621,5.25
PF11,OP030,Milling stage 3,Milling,3,Milling-2,10.0,2.5984900558539246,20.0
PF11,OP040,Milling stage 4,Milling,4,Milling-3,10.0,0.2273678798872184,1.75
PF11,OP050,Milling stage 5,Milling,5,Milling-1,10.0,0.2273678798872184,1.75
PF12,OP010,Turning stage 1,Turning,1,Turning-1,2.5,0.8010820382196033,2.0
PF12,OP020,Turning stage 2,Turning,2,Turning-2,2.5,0.8010820382196033,2.0
PF12,OP030,Turning stage 3,Turning,3,Turning-3,2.5,3.604869171988215,9.0
PF12,OP040,Turning stage 4,Turning,4,Turning-1,2.5,2.0027050955490084,5.0
PF12,OP050,Turning stage 5,Turning,5,Turning-2,2.5,0.8010820382196033,2.0
PF12,OP060,Turning stage 6,Turning,6,Turning-3,2.5,0.40054101910980167,1.0
PF12,OP070,Turning stage 7,Turning,7,Turning-1,2.5,0.6008115286647026,1.5
PF12,OP080,Turning stage 8,Turning,8,Turning-2,2.5,0.8010820382196033,2.0
PF12,OP090,Turning stage 9,Turning,9,Turning-3,2.5,1.201623057329405,3.0
PF12,OP100,Turning stage 10,Turning,10,Turning-1,2.5,0.8010820382196033,2.0
PF12,OP110,Milling stage 11,Milling,11,Milling-2,10.0,1.451961194273031,14.5
PF13,OP010,Turning stage 1,Turning,1,Turning-2,2.5,0.6870180177261574,2.0
PF13,OP020,Turning stage 2,Turning,2,Turning-3,2.5,0.6870180177261574,2.0
PF13,OP030,Turning stage 3,Turning,3,Turning-1,2.5,1.2022815310207755,3.5
PF13,OP040,Turning stage 4,Turning,4,Turning-2,2.5,1.5457905398838543,4.5
PF13,OP050,Honing stage 5,Honing,5,Honing-3,4.0,0.8587725221576968,4.0
PF13,OP060,Honing stage 6,Honing,6,Honing-1,4.0,0.9661190874274089,4.5
PF13,OP070,Turning stage 7,Turning,7,Turning-2,2.5,1.374036035452315,4.0
PF14,OP010,Milling stage 1,Milling,1,Milling-3,10.0,1.0179332420585414,15.0
PF14,OP020,Milling stage 2,Milling,2,Milling-1,10.0,0.3393110806861805,5.0
PF14,OP030,Milling stage 3,Milling,3,Milling-2,10.0,3.2573863745873326,48.0
PF14,OP040,Milling stage 4,Milling,4,Milling-3,10.0,1.3097407714486566,19.3
PF14,OP050,WireEDM stage 5,WireEDM,5,WireEDM-1,12.0,0.6786221613723609,12.0
PF15,OP010,Turning stage 1,Turning,1,Turning-1,2.5,2.921483926078868,3.0
PF15,OP020,Milling stage 2,Milling,2,Milling-2,10.0,0.9373094262836369,3.85
PF15,OP030,Milling stage 3,Milling,3,Milling-3,10.0,0.3651854907598585,1.5
PF16,OP010,Turning stage 1,Turning,1,Turning-2,2.5,1.5023234400451322,5.125
PF16,OP020,Turning stage 2,Turning,2,Turning-3,2.5,1.5023234400451322,5.125
PF16,OP030,Milling stage 3,Milling,3,Milling-1,10.0,1.46568140492208,20.0
PF16,OP040,Milling stage 4,Milling,4,Milling-2,10.0,0.30229678976517904,4.125
PF17,OP010,Turning stage 1,Turning,1,Turning-3,2.5,1.3346000570474965,2.5
PF17,OP020,Turning stage 2,Turning,2,Turning-1,2.5,1.5154168389700606,2.838709677419355
PF17,OP030,Turning stage 3,Turning,3,Turning-2,2.5,1.0676800456379971,2.0
PF17,OP040,Milling stage 4,Milling,4,Milling-3,10.0,0.43374501854043634,3.25
PF17,OP050,Turning stage 5,Turning,5,Turning-1,2.5,1.0676800456379971,2.0
PF18,OP010,Turning stage 1,Turning,1,Turning-1,2.5,0.8079390910875137,2.0
PF18,OP020,Turning stage 2,Turning,2,Turning-2,2.5,0.8079390910875137,2.0
PF18,OP030,Turning stage 3,Turning,3,Turning-3,2.5,3.6357259098938117,9.0
PF18,OP040,Turning stage 4,Turning,4,Turning-1,2.5,2.0198477277187843,5.0
PF18,OP050,Turning stage 5,Turning,5,Turning-2,2.5,0.8079390910875137,2.0
PF18,OP060,Turning stage 6,Turning,6,Turning-3,2.5,0.40396954554375686,1.0
PF18,OP070,Turning stage 7,Turning,7,Turning-1,2.5,0.6059543183156353,1.5
PF18,OP080,Turning stage 8,Turning,8,Turning-2,2.5,0.8079390910875137,2.0
PF18,OP090,Turning stage 9,Turning,9,Turning-3,2.5,1.6158781821750274,4.0
PF18,OP100,Turning stage 10,Turning,10,Turning-1,2.5,0.8079390910875137,2.0
PF19,OP010,Milling stage 1,Milling,1,Milling-2,10.0,1.933759604927634,38.0
PF19,OP020,Milling stage 2,Milling,2,Milling-3,10.0,1.4248754983677303,28.0
PF19,OP030,Milling stage 3,Milling,3,Milling-1,10.0,0.025444205327995184,0.5
PF19,OP040,Milling stage 4,Milling,4,Milling-2,10.0,3.460411924607345,68.0
PF19,OP050,Milling stage 5,Milling,5,Milling-3,10.0,4.12196126313522,81.0
