id,complexity,demand_probability,quantity_distribution,historical_job_count,historical_item_count,quantity_mean,quantity_median,quantity_n
PF01,0.65,0.2303206997084548,empirical,79,43,972.9620253164557,223.0,79
PF02,1.1832159566199232,0.21865889212827988,empirical,75,39,1711.6666666666667,1146.0,75
PF03,3.8173202563632143,0.1457725947521866,empirical,50,1,106.96,112.0,50
PF04,0.8,0.09620991253644315,empirical,33,29,12146.151515151516,8046.0,33
PF05,0.8406117991966161,0.06705539358600583,empirical,23,7,1019.8260869565217,978.0,23
PF06,1.3628811834926577,0.04664723032069971,empirical,16,2,1708.125,777.5,16
PF07,2.542912338649395,0.04081632653061224,empirical,14,12,186.78571428571428,53.0,14
PF08,1.51657508881031,0.026239067055393587,empirical,9,7,1035.3333333333333,568.0,9
PF09,1.8923049805818797,0.023323615160349854,empirical,8,2,1711.25,782.0,8
PF10,1.8057429741896005,0.023323615160349854,empirical,8,3,1619.25,1222.0,8
PF11,0.7696777578557071,0.01749271137026239,empirical,6,1,6488.333333333333,5891.5,6
PF12,0.998649279139989,0.01749271137026239,empirical,6,5,1708.8333333333333,607.0,6
PF13,1.1644527208293345,0.011661807580174927,empirical,4,4,47.0,46.0,4
PF14,1.4735740400486252,0.008746355685131196,empirical,3,1,608.6666666666666,474.0,3
PF15,0.4107501633974778,0.0058309037900874635,empirical,2,2,22417.0,22417.0,2
PF16,1.3645530285664815,0.0058309037900874635,empirical,2,2,5960.0,5960.0,2
PF17,0.7492881442042464,0.0058309037900874635,empirical,2,1,6460.5,6460.5,2
PF18,0.9901736514855006,0.0058309037900874635,empirical,2,2,360.0,360.0,2
PF19,1.9650839692362925,0.0029154518950437317,empirical,1,1,49.0,49.0,1
