part_family,operation_id,machine,time_per_unit
PF01,OP010,M01,7.551922577733841
PF01,OP010,M02,7.499418113873533
PF01,OP010,M03,7.447278685366394
PF01,OP010,M04,7.39550175431756
PF01,OP010,M05,7.34408480047679
PF01,OP010,M06,7.293025321115792
PF01,OP010,M07,7.242320830906395
PF01,OP010,M08,7.191968861799584
PF01,OP010,M09,7.141966962905366
PF01,OP010,M10,7.0923127003734665
PF01,OP010,M11,7.043003657274869
PF01,OP010,M12,6.994037433484163
PF01,OP010,M13,6.945411645562724
PF01,OP010,M14,6.897123926642699
PF01,OP010,M15,6.849171926311793
PF01,OP010,M16,6.801553310498867
PF01,OP010,M17,6.754265761360327
PF01,OP010,M18,6.707306977167299
PF01,OP010,M19,6.660674672193598
PF01,OP010,M20,6.614366576604462
PF01,OP010,M21,6.568380436346074
PF01,OP010,M22,6.522714013035843
PF01,OP010,M23,6.477365083853451
PF01,OP010,M24,6.432331441432655
PF01,OP010,M25,6.3876108937538465
PF01,OP010,M26,6.343201264037351
PF01,OP010,M27,6.299100390637475
PF01,OP010,M28,6.255306126937289
PF01,OP010,M29,6.211816341244133
PF01,OP010,M30,6.168628916685871
PF01,OP010,M31,6.125741751107835
PF01,OP010,M32,6.083152756970514
PF01,OP010,M33,6.0408598612479345
PF01,OP010,M34,5.9988610053267655
PF01,OP010,M35,5.957154144906104
PF01,OP010,M36,5.915737249897977
PF01,OP010,M37,5.874608304328524
PF01,OP010,M38,5.833765306239866
PF01,OP010,M39,5.793206267592664
PF01,OP010,M40,5.752929214169349
PF01,OP010,M41,5.712932185478028
PF01,OP010,M42,5.673213234657053
PF01,OP010,M43,5.633770428380264
PF01,OP010,M44,5.594601846762876
PF02,OP010,M01,20.332099247744953
PF02,OP010,M02,20.190741075813357
PF02,OP010,M03,20.05036569137106
PF02,OP010,M04,19.9109662616242
PF02,OP010,M05,19.772536001283665
PF02,OP010,M06,19.635068172234824
PF02,OP010,M07,19.498556083209525
PF02,OP010,M08,19.362993089460417
PF02,OP010,M09,19.228372592437523
PF02,OP010,M10,19.094688039467027
PF02,OP010,M11,18.96193292343234
PF02,OP010,M12,18.83010078245736
PF02,OP010,M13,18.699185199591952
PF02,OP010,M14,18.569179802499573
PF02,OP010,M15,18.440078263147136
PF02,OP010,M16,18.31187429749695
PF02,OP010,M17,18.18456166520088
PF02,OP010,M18,18.058134169296576
PF02,OP010,M19,17.93258565590584
PF02,OP010,M20,17.80791001393509
PF02,OP010,M21,17.68410117477789
PF02,OP010,M22,17.56115311201958
PF02,OP010,M23,17.43905984114391
PF02,OP010,M24,17.317815419241764
PF02,OP010,M25,17.197413944721895
PF02,OP010,M26,17.077849557023637
PF02,OP010,M27,16.959116436331666
PF02,OP010,M28,16.8412088032927
PF02,OP010,M29,16.724120918734204
PF02,OP010,M30,16.60784708338504
PF02,OP010,M31,16.49238163759802
PF02,OP010,M32,16.37771896107446
PF02,OP010,M33,16.263853472590593
PF02,OP010,M34,16.150779629725907
PF02,OP010,M35,16.03849192859336
PF02,OP010,M36,15.926984903571476
PF02,OP010,M37,15.816253127038335
PF02,OP010,M38,15.706291209107333
PF02,OP010,M39,15.597093797364865
PF02,OP010,M40,15.488655576609787
PF02,OP010,M41,15.38097126859469
PF02,OP010,M42,15.274035631768989
PF02,OP010,M43,15.167843461023786
PF02,OP010,M44,15.062389587438512
PF02,OP020,M01,9.294673941826264
PF02,OP020,M02,9.230053063228963
PF02,OP020,M03,9.165881458912486
