part_family,quantity
PF01,130
PF01,564
PF01,2115
PF01,168
PF01,424
PF01,688
PF01,545
PF01,401
PF01,385
PF01,828
PF01,210
PF01,14878
PF01,8390
PF01,40
PF01,50
PF01,223
PF01,7
PF01,660
PF01,86
PF01,26
PF01,3366
PF01,1362
PF01,396
PF01,23
PF01,179
PF01,1846
PF01,2445
PF01,5993
PF01,5828
PF01,539
PF01,25
PF01,147
PF01,291
PF01,38
PF01,766
PF01,6
PF01,8
PF01,1686
PF01,140
PF01,13
PF01,10
PF01,65
PF01,7
PF01,35
PF01,32
PF01,49
PF01,536
PF01,50
PF01,40
PF01,213
PF01,4
PF01,1
PF01,13
PF01,914
PF01,2
PF01,110
PF01,1635
PF01,30
PF01,50
PF01,976
PF01,892
PF01,430
PF01,300
PF01,1
PF01,909
PF01,564
PF01,210
PF01,656
PF01,436
PF01,8
PF01,4
PF01,1088
PF01,1211
PF01,2397
PF01,3538
PF01,2560
PF01,826
PF01,51
PF01,96
PF02,2952
PF02,3737
PF02,3662
PF02,1877
PF02,278
PF02,4171
PF02,2256
PF02,2987
PF02,1299
PF02,1803
PF02,5770
PF02,1083
PF02,330
PF02,2730
PF02,2
PF02,555
PF02,7436
PF02,585
PF02,1953
PF02,579
PF02,120
PF02,29
PF02,10
PF02,2959
PF02,2116
PF02,908
PF02,1250
PF02,984
PF02,4253
PF02,226
PF02,1965
PF02,3091
PF02,40
PF02,693
PF02,1203
PF02,6104
PF02,1027
PF02,397
PF02,1321
PF02,102
PF02,2944
PF02,2659
PF02,2936
PF02,3127
PF02,2230
PF02,425
PF02,320
PF02,1464
PF02,5
PF02,783
PF02,100
PF02,1486
PF02,390
PF02,2704
PF02,199
PF02,1111
PF02,249
PF02,2747
PF02,5215
PF02,2517
PF02,138
PF02,7905
PF02,1026
PF02,389
PF02,1172
PF02,756
PF02,447
PF02,1366
PF02,3791
PF02,348
PF02,1146
PF02,384
PF02,268
PF02,628
PF02,157
PF03,267
PF03,79
PF03,96
PF03,96
PF03,55
PF03,96
PF03,96
PF03,96
PF03,95
PF03,112
PF03,100
PF03,103
PF03,94
PF03,112
PF03,112
PF03,105
PF03,112
PF03,81
PF03,98
PF03,112
PF03,100
PF03,112
PF03,112
PF03,112
PF03,111
PF03,111
PF03,110
PF03,111
PF03,112
PF03,112
PF03,112
PF03,112
PF03,112
PF03,112
PF03,112
PF03,112
PF03,112
PF03,56
PF03,112
PF03,112
PF03,112
PF03,112
PF03,112
PF03,112
PF03,112
PF03,84
PF03,112
PF03,112
PF03,112
PF03,84
PF04,32941
PF04,24139
PF04,7173
PF04,28042
PF04,9650
PF04,4641
PF04,10260
PF04,50300
PF04,9982
PF04,895
PF04,9624
PF04,15521
PF04,15333
PF04,3238
PF04,7685
PF04,3543
PF04,2080
PF04,9116
PF04,7590
PF04,5837
PF04,18
PF04,2010
PF04,210
PF04,217
PF04,2463
PF04,11597
PF04,9810
PF04,41811
PF04,13212
PF04,8046
PF04,41120
PF04,7310
PF04,5409
PF05,572
PF05,1033
PF05,18
PF05,841
PF05,47
PF05,665
PF05,5536
PF05,1588
PF05,200
PF05,1121
PF05,1453
PF05,1081
PF05,1078
PF05,948
PF05,1496
PF05,1454
PF05,1921
PF05,20
PF05,1021
PF05,978
PF05,13
PF05,242
PF05,130
PF06,3235
PF06,9743
PF06,4344
PF06,56
PF06,35
PF06,1795
PF06,1150
PF06,108
PF06,364
PF06,2732
PF06,6
PF06,1900
PF06,2
PF06,2
PF06,1453
PF06,405
PF07,1100
PF07,502
PF07,113
PF07,28
PF07,50
PF07,36
PF07,28
PF07,475
PF07,11
PF07,60
PF07,30
PF07,90
PF07,36
PF07,56
PF08,1316
PF08,568
PF08,2275
PF08,203
PF08,2024
PF08,1913
PF08,466
PF08,401
PF08,152
PF09,7358
PF09,2845
PF09,1400
PF09,832
PF09,250
PF09,248
PF09,732
PF09,25
PF10,1289
PF10,608
PF10,2510
PF10,540
PF10,117
PF10,4598
PF10,1155
PF10,2137
PF11,8674
PF11,9402
PF11,3109
PF11,14667
PF11,2220
PF11,858
PF12,1060
PF12,598
PF12,432
PF12,7183
PF12,616
PF12,364
PF13,50
PF13,46
PF13,46
PF13,46
PF14,1028
PF14,324
PF14,474
PF15,35290
PF15,9544
PF16,11452
PF16,468
PF17,7410
PF17,5511
PF18,360
PF18,360
PF19,49
