machine_family,from_class,to_class,type,triangular
Milling,INITIAL,Milling-1,Medium,"[15, 30, 45]"
Milling,INITIAL,Milling-2,Medium,"[15, 30, 45]"
Milling,INITIAL,Milling-3,Medium,"[15, 30, 45]"
Milling,Milling-1,Milling-1,None,"[0, 0, 0]"
Milling,Milling-1,Milling-2,Minor,"[8, 15, 25]"
Milling,Milling-1,Milling-3,Major,"[30, 50, 80]"
Milling,Milling-2,Milling-1,Minor,"[8, 15, 25]"
Milling,Milling-2,Milling-2,None,"[0, 0, 0]"
Milling,Milling-2,Milling-3,Minor,"[8, 15, 25]"
Milling,Milling-3,Milling-1,Major,"[30, 50, 80]"
Milling,Milling-3,Milling-2,Minor,"[8, 15, 25]"
Milling,Milling-3,Milling-3,None,"[0, 0, 0]"
Turning,INITIAL,Turning-1,Medium,"[15, 30, 45]"
Turning,INITIAL,Turning-2,Medium,"[15, 30, 45]"
Turning,INITIAL,Turning-3,Medium,"[15, 30, 45]"
Turning,Turning-1,Turning-1,None,"[0, 0, 0]"
Turning,Turning-1,Turning-2,Minor,"[8, 15, 25]"
Turning,Turning-1,Turning-3,Major,"[30, 50, 80]"
Turning,Turning-2,Turning-1,Minor,"[8, 15, 25]"
Turning,Turning-2,Turning-2,None,"[0, 0, 0]"
Turning,Turning-2,Turning-3,Minor,"[8, 15, 25]"
Turning,Turning-3,Turning-1,Major,"[30, 50, 80]"
Turning,Turning-3,Turning-2,Minor,"[8, 15, 25]"
Turning,Turning-3,Turning-3,None,"[0, 0, 0]"
Honing,INITIAL,Honing-1,Medium,"[15, 30, 45]"
Honing,INITIAL,Honing-2,Medium,"[15, 30, 45]"
Honing,INITIAL,Honing-3,Medium,"[15, 30, 45]"
Honing,Honing-1,Honing-1,None,"[0, 0, 0]"
Honing,Honing-1,Honing-2,Minor,"[8, 15, 25]"
Honing,Honing-1,Honing-3,Major,"[30, 50, 80]"
Honing,Honing-2,Honing-1,Minor,"[8, 15, 25]"
Honing,Honing-2,Honing-2,None,"[0, 0, 0]"
Honing,Honing-2,Honing-3,Minor,"[8, 15, 25]"
Honing,Honing-3,Honing-1,Major,"[30, 50, 80]"
Honing,Honing-3,Honing-2,Minor,"[8, 15, 25]"
Honing,Honing-3,Honing-3,None,"[0, 0, 0]"
WireEDM,INITIAL,WireEDM-1,Medium,"[15, 30, 45]"
WireEDM,INITIAL,WireEDM-2,Medium,"[15, 30, 45]"
WireEDM,INITIAL,WireEDM-3,Medium,"[15, 30, 45]"
WireEDM,WireEDM-1,WireEDM-1,None,"[0, 0, 0]"
WireEDM,WireEDM-1,WireEDM-2,Minor,"[8, 15, 25]"
WireEDM,WireEDM-1,WireEDM-3,Major,"[30, 50, 80]"
WireEDM,WireEDM-2,WireEDM-1,Minor,"[8, 15, 25]"
WireEDM,WireEDM-2,WireEDM-2,None,"[0, 0, 0]"
WireEDM,WireEDM-2,WireEDM-3,Minor,"[8, 15, 25]"
WireEDM,WireEDM-3,WireEDM-1,Major,"[30, 50, 80]"
WireEDM,WireEDM-3,WireEDM-2,Minor,"[8, 15, 25]"
WireEDM,WireEDM-3,WireEDM-3,None,"[0, 0, 0]"
