x,y,w,h,id,department,machine_family,speed,technology_source,axis_capability,source_reported_family
2130.0,612.0,80.0,70.0,M01,turning,Turning,0.8607079764250578,Synthetic speed independent of axis capability,,Turning
1461.5,153.0,80.0,70.0,M02,turning,Turning,0.8824969025845955,Synthetic speed independent of axis capability,,Turning
2130.0,705.0,80.0,70.0,M03,turning,Turning,0.9048374180359595,Synthetic speed independent of axis capability,,Turning
1554.5,153.0,80.0,70.0,M04,turning,Turning,0.9277434863285529,Synthetic speed independent of axis capability,,Turning
374.0,370.0,80.0,70.0,M05,milling,Milling,0.8607079764250578,Synthetic speed independent of axis capability,3,Milling
831.0,370.0,80.0,70.0,M06,milling,Milling,0.865887748059205,Synthetic speed independent of axis capability,4,Milling
946.0,370.0,80.0,70.0,M07,milling,Milling,0.8710986917457983,Synthetic speed independent of axis capability,3,Milling
489.0,370.0,80.0,70.0,M08,milling,Milling,0.8763409950793732,Synthetic speed independent of axis capability,4,Milling
2230.0,705.0,80.0,70.0,M09,turning,Turning,0.951229424500714,Synthetic speed independent of axis capability,,Turning
760.0,560.0,80.0,70.0,M10,milling,Milling,0.8816148467834161,Synthetic speed independent of axis capability,3,Milling
1060.0,370.0,80.0,70.0,M11,milling,Milling,0.8869204367171575,Synthetic speed independent of axis capability,4,Milling
1554.5,241.0,80.0,70.0,M12,turning,Turning,0.9753099120283327,Synthetic speed independent of axis capability,,Turning
560.0,660.0,80.0,70.0,M13,milling,Milling,0.8922579558824083,Synthetic speed independent of axis capability,3,Milling
660.0,270.0,80.0,70.0,M14,milling,Milling,0.8976275964304349,Synthetic speed independent of axis capability,4,Milling
460.0,560.0,80.0,70.0,M15,milling,Milling,0.9030295516688768,Synthetic speed independent of axis capability,3,Milling
603.0,370.0,80.0,70.0,M16,milling,Milling,0.9084640160687062,Synthetic speed independent of axis capability,4,Milling
260.0,560.0,80.0,70.0,M17,milling,Milling,0.9139311852712282,Synthetic speed independent of axis capability,3,Milling
560.0,560.0,80.0,70.0,M18,milling,Milling,0.9194312560951247,Synthetic speed independent of axis capability,4,Milling
460.0,660.0,80.0,70.0,M19,milling,Milling,0.9249644265435393,Synthetic speed independent of axis capability,3,Milling
660.0,560.0,80.0,70.0,M20,milling,Milling,0.9305308958112057,Synthetic speed independent of axis capability,4,Milling
860.0,560.0,80.0,70.0,M21,milling,Milling,0.9361308642916188,Synthetic speed independent of axis capability,3,Milling
1060.0,560.0,80.0,70.0,M22,milling,Milling,0.9417645335842487,Synthetic speed independent of axis capability,4,Milling
960.0,560.0,80.0,70.0,M23,milling,Milling,0.9474321065017983,Synthetic speed independent of axis capability,3,Milling
1646.5,153.0,80.0,70.0,M24,turning,Milling,0.9531337870775047,Synthetic speed independent of axis capability,4,Milling
260.0,370.0,80.0,70.0,M25,milling,Milling,0.9588697805724845,Synthetic speed independent of axis capability,4,Milling
