part_family,position,name,machine_family,required_axes,id,setup_class,base_time,operation_modifier,reference_time_per_unit,eligible_machines
NF01,1,M3 rough,Milling,3,OP010,Milling-A,10.0,1.1,11.0,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF01,2,M3 finish,Milling,3,OP020,Milling-B,10.0,0.8,8.0,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF02,1,M3 rough,Milling,3,OP010,Milling-A,10.0,1.1,9.9,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF02,2,M3 finish,Milling,3,OP020,Milling-B,10.0,0.8,7.2,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF02,3,M3 drill,Milling,3,OP030,Milling-C,10.0,0.45,4.05,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF03,1,M3 rough,Milling,3,OP010,Milling-A,10.0,1.1,12.100000000000001,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF03,2,M4 multi-face finish,Milling,4,OP020,Milling-B,10.0,0.8,8.8,"['M06', 'M08', 'M11', 'M14', 'M16', 'M18', 'M20', 'M22', 'M24', 'M25', 'M28', 'M30', 'M34', 'M37', 'M45', 'M46', 'M50', 'M52', 'M54', 'M56', 'M58', 'M60']"
NF04,1,M3 rough,Milling,3,OP010,Milling-A,10.0,1.1,12.65,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF04,2,M4 multi-face finish,Milling,4,OP020,Milling-B,10.0,0.8,9.200000000000001,"['M06', 'M08', 'M11', 'M14', 'M16', 'M18', 'M20', 'M22', 'M24', 'M25', 'M28', 'M30', 'M34', 'M37', 'M45', 'M46', 'M50', 'M52', 'M54', 'M56', 'M58', 'M60']"
NF04,3,M3 drill,Milling,3,OP030,Milling-C,10.0,0.45,5.175,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF05,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,2.6125000000000003,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF05,2,T finish,Turning,,OP020,Turning-B,2.5,0.8,1.9000000000000001,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF06,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,3.0250000000000004,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF06,2,T bore,Turning,,OP020,Turning-C,2.5,1.0,2.75,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
