part_family,operation_id,machine_family,setup_class
NF01,OP010,Milling,Milling-A
NF01,OP020,Milling,Milling-B
NF02,OP010,Milling,Milling-A
NF02,OP020,Milling,Milling-B
NF02,OP030,Milling,Milling-C
NF03,OP010,Milling,Milling-A
NF03,OP020,Milling,Milling-B
NF04,OP010,Milling,Milling-A
NF04,OP020,Milling,Milling-B
NF04,OP030,Milling,Milling-C
NF05,OP010,Turning,Turning-A
NF05,OP020,Turning,Turning-B
NF06,OP010,Turning,Turning-A
NF06,OP020,Turning,Turning-C
NF06,OP030,Turning,Turning-B
NF07,OP010,Turning,Turning-A
NF07,OP020,Milling,Milling-B
NF08,OP010,Turning,Turning-A
NF08,OP020,Turning,Turning-B
NF08,OP030,Milling,Milling-C
NF09,OP010,Turning,Turning-A
NF09,OP020,Milling,Milling-B
NF10,OP010,Turning,Turning-A
NF10,OP020,Turning,Turning-B
NF10,OP030,Milling,Milling-B
NF10,OP040,Milling,Milling-C
NF11,OP010,Turning,Turning-A
NF11,OP020,Turning,Turning-C
NF11,OP030,Honing,Honing-C
NF11,OP040,Turning,Turning-B
NF12,OP010,Turning,Turning-A
NF12,OP020,Turning,Turning-C
NF12,OP030,Honing,Honing-C
NF12,OP040,Turning,Turning-B
NF12,OP050,Turning,Turning-B
NF13,OP010,Milling,Milling-A
NF13,OP020,Milling,Milling-B
NF13,OP030,WireEDM,WireEDM-B
NF14,OP010,Milling,Milling-A
NF14,OP020,Milling,Milling-B
NF14,OP030,WireEDM,WireEDM-B
NF15,OP010,Turning,Turning-A
NF15,OP020,Milling,Milling-B
NF15,OP030,Turning,Turning-B
NF16,OP010,Turning,Turning-A
NF16,OP020,Milling,Milling-B
NF16,OP030,Milling,Milling-C
NF16,OP040,Turning,Turning-B
NF17,OP010,Milling,Milling-B
NF18,OP010,Turning,Turning-B
