machine_family,from_class,to_class,type,triangular
Milling,INITIAL,Milling-A,Medium,"[15, 30, 45]"
Milling,INITIAL,Milling-B,Medium,"[15, 30, 45]"
Milling,INITIAL,Milling-C,Medium,"[15, 30, 45]"
Milling,Milling-A,Milling-A,None,"[0, 0, 0]"
Milling,Milling-A,Milling-B,Minor,"[8, 15, 25]"
Milling,Milling-A,Milling-C,Major,"[30, 50, 80]"
Milling,Milling-B,Milling-A,Minor,"[8, 15, 25]"
Milling,Milling-B,Milling-B,None,"[0, 0, 0]"
Milling,Milling-B,Milling-C,Minor,"[8, 15, 25]"
Milling,Milling-C,Milling-A,Major,"[30, 50, 80]"
Milling,Milling-C,Milling-B,Minor,"[8, 15, 25]"
Milling,Milling-C,Milling-C,None,"[0, 0, 0]"
Turning,INITIAL,Turning-A,Medium,"[15, 30, 45]"
Turning,INITIAL,Turning-B,Medium,"[15, 30, 45]"
Turning,INITIAL,Turning-C,Medium,"[15, 30, 45]"
Turning,Turning-A,Turning-A,None,"[0, 0, 0]"
Turning,Turning-A,Turning-B,Minor,"[8, 15, 25]"
Turning,Turning-A,Turning-C,Major,"[30, 50, 80]"
Turning,Turning-B,Turning-A,Minor,"[8, 15, 25]"
Turning,Turning-B,Turning-B,None,"[0, 0, 0]"
Turning,Turning-B,Turning-C,Minor,"[8, 15, 25]"
Turning,Turning-C,Turning-A,Major,"[30, 50, 80]"
Turning,Turning-C,Turning-B,Minor,"[8, 15, 25]"
Turning,Turning-C,Turning-C,None,"[0, 0, 0]"
Honing,INITIAL,Honing-A,Medium,"[15, 30, 45]"
Honing,INITIAL,Honing-B,Medium,"[15, 30, 45]"
Honing,INITIAL,Honing-C,Medium,"[15, 30, 45]"
Honing,Honing-A,Honing-A,None,"[0, 0, 0]"
Honing,Honing-A,Honing-B,Minor,"[8, 15, 25]"
Honing,Honing-A,Honing-C,Major,"[30, 50, 80]"
Honing,Honing-B,Honing-A,Minor,"[8, 15, 25]"
Honing,Honing-B,Honing-B,None,"[0, 0, 0]"
Honing,Honing-B,Honing-C,Minor,"[8, 15, 25]"
Honing,Honing-C,Honing-A,Major,"[30, 50, 80]"
Honing,Honing-C,Honing-B,Minor,"[8, 15, 25]"
Honing,Honing-C,Honing-C,None,"[0, 0, 0]"
WireEDM,INITIAL,WireEDM-A,Medium,"[15, 30, 45]"
WireEDM,INITIAL,WireEDM-B,Medium,"[15, 30, 45]"
WireEDM,INITIAL,WireEDM-C,Medium,"[15, 30, 45]"
WireEDM,WireEDM-A,WireEDM-A,None,"[0, 0, 0]"
WireEDM,WireEDM-A,WireEDM-B,Minor,"[8, 15, 25]"
WireEDM,WireEDM-A,WireEDM-C,Major,"[30, 50, 80]"
WireEDM,WireEDM-B,WireEDM-A,Minor,"[8, 15, 25]"
WireEDM,WireEDM-B,WireEDM-B,None,"[0, 0, 0]"
WireEDM,WireEDM-B,WireEDM-C,Minor,"[8, 15, 25]"
WireEDM,WireEDM-C,WireEDM-A,Major,"[30, 50, 80]"
WireEDM,WireEDM-C,WireEDM-B,Minor,"[8, 15, 25]"
WireEDM,WireEDM-C,WireEDM-C,None,"[0, 0, 0]"
